Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,67600.0,68230.0,67350.0,68040.6015625,67913.75,4849
2022-06-23,68040.6015625,69280.0,68040.546875,69006.203125,68877.5546875,7455
2022-06-24,68900.0,70775.0,68900.0,70553.0,70421.4609375,12532
2022-06-27,71200.0,71907.703125,70900.0,71221.75,71088.9765625,8117
2022-06-28,71000.0,72599.75,70567.703125,72268.6484375,72133.921875,10643
2022-06-29,71567.0,72000.0,71150.0,71523.75,71390.40625,6071
2022-06-30,71748.0,72099.796875,70425.0,70800.8984375,70668.8984375,6089
2022-07-01,70300.0,72500.0,70300.0,72194.296875,72059.703125,5409
2022-07-04,71900.0,72499.8515625,71600.0,71776.453125,71642.640625,4102
2022-07-05,72000.0,72340.0,71056.453125,71221.1484375,71088.375,3862
2022-07-06,71721.953125,73500.0,71499.453125,73230.203125,73093.6796875,7785
2022-07-07,73825.0,75500.0,73346.296875,75337.8984375,75197.4453125,12354
2022-07-08,75337.8984375,76454.0,75335.046875,76044.953125,75903.1796875,10071
2022-07-11,76000.0,76500.0,75300.0,76375.8515625,76233.4609375,8025
2022-07-12,76000.0,76900.0,75829.046875,76664.6484375,76521.71875,7467
2022-07-13,76674.0,77600.0,76674.0,77273.75,77129.6953125,7992
2022-07-14,77399.796875,77863.453125,76532.296875,77414.8984375,77270.5703125,6630
2022-07-15,77724.0,79729.6484375,77629.546875,79558.1015625,79409.7890625,14260
2022-07-18,79602.0,80998.953125,79600.0,80742.5,80591.96875,15460
2022-07-19,80500.0,80820.8984375,79191.546875,79941.796875,79792.7578125,8431
2022-07-20,80075.0,80618.8515625,79400.0,79784.6015625,79635.8671875,7028
2022-07-21,79630.0,80418.3984375,79555.0,80178.3984375,80028.921875,6751
2022-07-22,80290.0,80738.0,79136.296875,79400.6015625,79252.5703125,6537
2022-07-25,79600.0,81198.953125,79531.796875,80834.046875,80683.34375,11727
2022-07-26,80829.0,80965.75,79830.796875,80150.203125,80000.7734375,5871
2022-07-27,80150.0,80971.0,79650.0,80864.953125,80859.46875,5546
2022-07-28,81010.0,83300.0,81010.0,83046.5,83040.8671875,14509
2022-07-29,83479.0,83970.0,82552.296875,83818.1484375,83812.4609375,12547
2022-08-01,84000.0,87400.0,83998.3515625,86950.3515625,86944.453125,16248
2022-08-02,86930.0,88950.0,86300.0,88173.1484375,88167.171875,18522
2022-08-03,88174.0,88950.0,87216.75,88738.953125,88732.9296875,15400
2022-08-04,88988.953125,89499.8984375,87736.6484375,88711.796875,88705.78125,11181
2022-08-05,89000.0,89150.0,87855.953125,88895.453125,88889.421875,9228
2022-08-08,88500.046875,88900.0,87500.0,87717.5,87711.5546875,8338
2022-08-10,86805.0,87234.8984375,82610.0,83466.6015625,83460.9375,26092
2022-08-11,83999.0,84598.0,82101.0,82500.703125,82495.109375,12363
2022-08-12,82995.0,84338.203125,82271.546875,83130.8515625,83125.2109375,10606
2022-08-16,83500.0,87593.296875,83400.1015625,86971.453125,86965.5546875,28904
2022-08-17,87000.0,87925.296875,86381.0,86853.6015625,86847.7109375,18111
2022-08-18,86844.953125,87988.046875,85806.296875,87591.546875,87585.6015625,14967
2022-08-19,87989.0,88361.8515625,86436.953125,86825.8984375,86820.0078125,11885
2022-08-22,86808.953125,86876.953125,84510.0,84828.25,84822.5,11433
2022-08-23,83930.0,86779.953125,83800.0,85895.453125,85889.625,13741
2022-08-24,85799.953125,86699.75,84800.046875,85264.5,85258.71875,8432
2022-08-25,85599.0,86500.0,85178.796875,85445.0,85439.203125,12922
2022-08-26,86400.0,86445.0,85000.0,85272.25,85266.46875,6083
2022-08-29,84629.953125,84894.75,83479.0,84418.6484375,84412.921875,5901
2022-08-30,84895.0,86263.796875,84740.0,85364.953125,85359.1640625,14199
2022-09-01,85444.0,85982.8984375,84500.0,85142.75,85136.9765625,6632
2022-09-02,85795.0,85979.25,84202.0,84356.8984375,84351.1796875,7733
