Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,1618914.5,1629527.625,1551759.625,1562851.75,1562851.75,2234357398851
2022-06-23,1562818.75,1651603.375,1559965.375,1647705.25,1647705.25,2046406002136
2022-06-24,1647609.25,1680309.5,1627326.0,1661430.125,1661430.125,1953009064312
2022-06-25,1661583.0,1684065.375,1640531.25,1682611.75,1682611.75,1437697085822
2022-06-26,1682154.5,1704630.875,1644581.5,1645439.25,1645439.25,1410671862338
2022-06-27,1645513.0,1682056.5,1618166.75,1626516.75,1626516.75,1644575336447
2022-06-28,1626208.25,1667269.875,1599694.375,1603659.75,1603659.75,1690711730077
2022-06-29,1603702.0,1608972.0,1575015.625,1586177.25,1586177.25,1858275882763
2022-06-30,1586515.625,1589107.375,1478997.625,1562266.25,1562266.25,2074146554067
2022-07-01,1565088.75,1629229.0,1505767.625,1521333.875,1521333.875,2429125854764
2022-07-02,1521765.625,1529416.875,1502205.25,1519193.375,1519193.375,1429044349897
2022-07-03,1519180.75,1544142.875,1497457.875,1523522.625,1523522.625,1294071062376
2022-07-04,1523541.375,1599220.375,1505553.625,1597050.625,1597050.625,1704675276705
2022-07-05,1596584.25,1633213.75,1535718.125,1602460.125,1602460.125,2120374227078
2022-07-06,1602817.625,1627904.5,1569775.375,1624175.75,1624175.75,1944351233721
2022-07-07,1624141.625,1724671.0,1603503.625,1714169.75,1714169.75,2045109906568
2022-07-08,1714135.5,1766855.5,1687885.375,1723964.25,1723964.25,3958633709686
2022-07-09,1722830.75,1735439.125,1701234.75,1712836.25,1712836.25,2351329893145
2022-07-10,1712747.0,1712747.0,1644212.25,1654893.875,1654893.875,2275930358221
2022-07-11,1654568.875,1654568.875,1583563.625,1587220.875,1587220.875,1919414723642
2022-07-12,1587214.375,1595909.375,1534577.5,1535798.0,1535798.0,2051307061076
2022-07-13,1535961.5,1613946.25,1516415.75,1613076.25,1613076.25,2637035709301
